latitude,longitude,name
50.869581,4.291958,BERCHEM-SHOPPING
50.790516,4.420068,KATTENBERG
50.812742,4.41051,VOORN
50.819997,4.383243,ROFFIAEN
50.854237,4.323407,BEEKKANT
50.824533,4.393504,VUB
50.811774,4.401045,BRILJANT
50.824976,4.431867,EMPAIN
50.787402,4.422597,JACHTSTOET
50.860596,4.40152,PENTATHLON
50.809495,4.416849,AARTSHERTOGEN
50.825454,4.298142,BIZET
50.870674,4.311571,SORENSEN
50.856891,4.408249,RTLHOUSE
50.868933,4.384692,PAULBRIEN-ZKH.
50.832985,4.357751,STEFANIA
50.855239,4.295158,ELBERS
50.879855,4.347609,STATIONBOCKSTAEL
50.818926,4.370739,ABDIJ
50.796415,4.356709,MERCURIUS
50.810501,4.385849,SOLBOS
50.870424,4.334721,ODONWARLAND
50.806384,4.387635,MARIE-JOSE
50.861254,4.3383,JUBELFEEST
50.802634,4.390584,BRAZILIE
50.829515,4.35585,FAIDER
50.801169,4.393449,BOONDAALSTATION
